time,velocity
23.8337,3.322769
23.85637,3.29725
23.87835,3.292817
23.90154,3.2822
23.92282,3.266777
23.94569,3.247706
23.97006,3.226017
23.99063,3.151769
24.01381,3.036262
24.03587,2.940182
24.05795,2.809931
24.0806,2.705897
24.1026,2.624133
24.12475,2.564762
24.14777,2.624032
24.1702,2.676007
24.19108,2.77196
24.2142,2.851803
24.23672,2.918763
24.25942,2.972178
24.28153,3.013275
24.30382,3.043668
24.32579,3.064873
24.34893,3.078257
24.36904,3.085817
24.39222,3.088541
24.4151,3.08654
24.43731,3.084093
24.45921,3.07797
24.48169,3.069746
24.50494,3.109993
24.52644,3.166882
24.5502,3.233386
24.57093,3.281245
24.59376,3.313168
24.61615,3.330859
24.63795,3.337442
24.65992,3.284147
24.68409,3.234853
24.70542,3.188874
24.72766,3.148749
24.7496,3.060935
24.77212,2.986811
24.79439,2.92506
24.8172,2.874447
24.83876,2.836016
24.86183,2.755054
24.88411,2.69183
24.90657,2.593345
24.92807,2.518783
24.95188,2.414137
24.97501,2.337736
24.99578,2.26158
25.01897,2.18502
25.03981,2.135382
25.06429,2.107687
25.08509,2.099002
25.10888,2.157235
25.12888,2.267821
25.15255,2.367772
25.17441,2.457132
25.19699,2.587879
25.21914,2.749652
25.24102,2.832587
25.26374,2.953305
25.28627,3.026125
25.30822,3.055481
25.33146,3.025563
25.35203,2.998042
25.37527,2.948686
25.39691,2.880734
25.42002,2.824988
25.44176,2.730208
25.46471,2.605456
25.48709,2.508656
25.50961,2.386928
25.53238,2.245627
25.55407,2.091733
25.5764,1.957106
25.59912,1.837779
25.62063,1.759602
25.64331,1.715364
25.66624,1.700146
25.68771,1.759289
25.71,1.827246
25.73302,1.902678
25.75483,1.981098
25.77773,2.112074
25.79992,2.231063
25.82172,2.338992
25.84449,2.387766
25.86672,2.361212
25.88894,2.348218
25.91191,2.296438
25.93417,2.264913
25.95665,2.226
25.97843,2.229617
26.00037,2.193599
26.02294,2.17664
26.04565,2.201775
26.06757,2.310332
26.09011,2.35788
26.11221,2.404959
26.13399,2.450823
26.15718,2.495445
26.17908,2.48811
26.20216,2.48843
26.22366,2.444219
26.24676,2.442822
26.26884,2.473628
26.29142,2.506616
26.31333,2.540049
26.33654,2.601311
26.35807,2.731569
26.38019,2.840277
26.4039,2.92838
26.42492,2.998275
26.44774,3.051408
26.46967,3.040073
26.49273,3.027452
26.51645,2.990446
26.53673,2.932366
26.55945,2.88451
26.58214,2.845794
26.60355,2.76369
26.6265,2.698917
26.64905,2.64864
26.67156,2.561391
26.69341,2.444973
26.71648,2.307708
26.73752,2.205935
26.76048,2.08477
26.78278,1.949981
26.80497,1.806551
26.82759,1.708596
26.8503,1.649972
26.87203,1.624205
26.89491,1.677005
26.91714,1.741035
26.93921,1.81379
26.96187,1.891582
26.98593,1.972087
27.00701,2.052615
27.02832,2.132498
27.05111,2.158982
27.07299,2.192478
27.09597,2.18108
27.11955,2.184285
27.13996,2.148478
27.16372,2.082485
27.18522,2.019863
27.207,1.957869
27.22966,1.873998
27.25228,1.823867
27.27488,1.801948
27.29734,1.80326
27.31891,1.822614
27.34116,1.857
27.36514,1.953674
27.38649,2.048389
27.40829,2.089124
27.4309,2.136163
27.45293,2.188212
27.47517,2.243419
27.497,2.275721
27.51976,2.284872
27.5418,2.302083
27.56458,2.325525
27.58642,2.379971
27.60895,2.455931
27.63222,2.574225
27.65376,2.675558
27.67625,2.761344
27.69918,2.832258
27.72099,2.83994
27.74312,2.846239
27.76798,2.833712
27.78773,2.804653
27.81021,2.71673
27.8326,2.647754
27.85495,2.545344
27.8768,2.468386
27.90044,2.372365
27.9223,2.271841
27.94417,2.240132
27.9673,2.177524
27.98908,2.149136
28.01179,2.139108
28.03404,2.093391
28.05618,2.097051
28.07938,2.137978
28.10037,2.184293
28.12394,2.233404
28.14665,2.284522
28.16806,2.386458
28.19054,2.477042
28.21357,2.557643
28.23617,2.67865
28.25735,2.830291
28.28012,2.954133
28.3027,3.103234
28.32394,3.270126
28.34626,3.42498
28.36889,3.615367
28.39188,3.756787
28.41441,3.856813
28.43612,3.970654
28.45787,4.095185
28.48016,4.174615
28.50273,4.216553
28.52567,4.226533
28.54852,4.210894
28.57,4.17417
28.5915,4.121812
28.61446,4.056927
28.63712,3.983808
28.6585,3.905259
28.68164,3.822993
28.70373,3.739872
28.72562,3.656792
28.74891,3.575211
28.77113,3.49703
28.79331,3.422942
28.81641,3.302033
28.83751,3.196789
28.86013,3.106082
28.8821,3.028745
28.90483,2.963589
28.92733,2.96013
28.94967,2.95602
28.97551,2.952346
28.99961,2.948203
29.01681,2.892678
29.03982,2.796509
29.06068,2.669465
29.0839,2.570362
29.10623,2.444162
29.12828,2.299019
29.15008,2.192528
29.17294,2.067592
29.19605,1.956817
29.21778,1.856796
29.2389,1.793846
29.26274,1.761278
29.28486,1.754655
29.30645,1.768404
29.32914,1.799156
29.35146,1.792459
29.37395,1.805475
29.39595,1.834997
29.41871,1.878135
29.44038,1.930765
29.46413,1.939475
29.48581,1.96328
29.50854,1.998762
29.53045,2.042326
29.55344,2.040969
29.57534,2.08146
29.59806,2.151549
29.61983,2.221199
29.64267,2.289297
29.66432,2.35491
29.68673,2.393037
29.70936,2.405597
29.73265,2.423429
29.75336,2.395286
29.77607,2.329663
29.79971,2.285513
29.82128,2.208835
29.84281,2.10791
29.86568,2.039815
29.88784,1.948814
29.91111,1.854176
29.93229,1.838694
29.95505,1.865063
29.97744,1.929161
29.99896,1.997866
30.02201,2.018427
30.04435,2.049537
30.0676,2.020188
30.08879,2.020494
30.11057,1.993187
30.13384,1.924264
30.15561,1.906165
30.17802,1.882092
30.20184,1.879452
30.222,1.892155
30.24516,2.069923
30.26828,2.283375
30.29036,2.467023
30.31229,2.623114
30.33531,2.804813
30.35708,2.954143
30.37955,3.073885
30.40125,3.166784
30.42468,3.186387
30.44664,3.196959
30.46865,3.200027
30.49087,3.196973
30.51366,3.239656
30.536,3.267592
30.55759,3.283107
30.58151,3.287898
30.60337,3.284689
30.62484,3.301787
30.64703,3.331566
30.66977,3.347835
30.69199,3.352081
30.71428,3.397191
30.73691,3.423941
30.7585,3.435145
30.78145,3.383337
